_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
260134,4.0,3.0,11.0,,4.0,4.0,11/18/2020,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,4.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154511.0,69.0,1.0,34  WASDALE CRES ,4.0,3.0,8,4.0,1965.0,2017.0
260135,3.0,3.0,13.0,,2.0,2.0,12/18/2020,2.0,2.0,2.0,5.0,,5.0,2.0,2.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154513.0,53.0,1.0,66  WASDALE CRES ,3.0,3.0,8,2.0,1956.0,2018.0
260136,,3.0,11.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4154517.0,64.0,,27  HOTSPUR RD ,,,8,,1956.0,2017.0
260137,4.0,19.0,225.0,4.0,4.0,5.0,11/20/2019,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,20,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154519.0,80.0,5.0,3636  BATHURST ST ,4.0,4.0,8,4.0,1974.0,2017.0
260138,3.0,7.0,48.0,5.0,4.0,4.0,12/18/2020,2.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154521.0,79.0,5.0,3638  BATHURST ST ,4.0,,8,3.0,1958.0,2018.0
260139,4.0,3.0,11.0,,5.0,5.0,11/21/2019,5.0,5.0,4.0,4.0,,5.0,4.0,5.0,4.0,5.0,17,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154542.0,91.0,4.0,63  WASDALE CRES ,4.0,5.0,8,4.0,1950.0,2018.0
260140,3.0,4.0,60.0,5.0,3.0,5.0,11/05/2019,3.0,3.0,3.0,3.0,,2.0,3.0,3.0,5.0,5.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154890.0,74.0,5.0,55  ECCLESTON DR ,5.0,5.0,16,3.0,1960.0,2017.0
260141,3.0,15.0,154.0,5.0,4.0,5.0,02/28/2019,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154898.0,87.0,5.0,21  WELSFORD GDNS ,5.0,4.0,16,4.0,1960.0,2017.0
260142,3.0,6.0,65.0,4.0,5.0,5.0,11/25/2020,3.0,4.0,4.0,4.0,,5.0,4.0,4.0,3.0,3.0,17,,5.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154902.0,80.0,5.0,76  PARKWOODS VILLAGE DR ,3.0,,16,4.0,1962.0,2017.0
260143,3.0,3.0,11.0,,3.0,5.0,11/04/2019,3.0,5.0,3.0,3.0,,5.0,4.0,3.0,5.0,5.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154907.0,80.0,5.0,2126  VICTORIA PARK AVE ,5.0,,16,3.0,1961.0,2018.0
260144,,8.0,66.0,,,,03/24/2021,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 3 years,4154910.0,89.0,,121  COMBERMERE DR ,,,16,,1963.0,2017.0
260145,4.0,7.0,72.0,4.0,4.0,5.0,11/27/2020,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154916.0,83.0,5.0,267  ROYWOOD DR ,3.0,4.0,16,4.0,1962.0,2017.0
260146,3.0,3.0,18.0,,3.0,3.0,10/28/2019,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155435.0,73.0,3.0,3  TORBOLTON DR ,3.0,,1,5.0,1964.0,2017.0
260147,3.0,3.0,18.0,,3.0,4.0,10/28/2019,3.0,4.0,4.0,3.0,,5.0,2.0,3.0,2.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155440.0,68.0,5.0,2356  ISLINGTON AVE ,3.0,4.0,1,4.0,1958.0,2017.0
260148,4.0,19.0,223.0,4.0,3.0,4.0,10/28/2019,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155450.0,68.0,4.0,50  PANORAMA CRT ,3.0,,1,4.0,1976.0,2017.0
260149,3.0,23.0,416.0,3.0,5.0,5.0,10/21/2020,3.0,2.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155453.0,72.0,5.0,2737  KIPLING AVE ,3.0,,1,4.0,1976.0,2018.0
260150,4.0,18.0,325.0,4.0,4.0,4.0,10/28/2019,3.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,4.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155455.0,68.0,3.0,2777  KIPLING AVE ,3.0,,1,3.0,1978.0,2017.0
260151,,13.0,179.0,4.0,4.0,4.0,12/01/2020,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,17,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4155465.0,78.0,4.0,10  HUMBERLINE DR ,3.0,,1,3.0,1984.0,2017.0
260152,,28.0,479.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155820.0,74.0,,235  BLOOR ST E,,,11,,1979.0,2017.0
260153,3.0,4.0,27.0,,4.0,3.0,10/30/2019,4.0,5.0,4.0,4.0,,5.0,3.0,4.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155827.0,75.0,5.0,2559  BLOOR ST W,3.0,4.0,4,4.0,1944.0,2018.0
260154,4.0,16.0,171.0,5.0,4.0,5.0,11/07/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,18,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155838.0,88.0,5.0,2960  DON MILLS RD W,5.0,,17,4.0,1960.0,2017.0
260155,,3.0,25.0,,4.0,4.0,10/30/2019,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,4.0,4.0,16,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156001.0,80.0,4.0,15  FORTY THIRD ST ,4.0,,3,4.0,1953.0,2017.0
260156,4.0,15.0,203.0,3.0,4.0,3.0,11/26/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,20,5.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4156390.0,79.0,4.0,2739  VICTORIA PARK AVE ,4.0,4.0,22,4.0,1971.0,2017.0
260157,5.0,15.0,124.0,5.0,5.0,5.0,11/04/2019,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,19,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156399.0,94.0,5.0,5  BROOKBANKS DR ,4.0,,16,4.0,1968.0,2017.0
260158,3.0,12.0,141.0,4.0,4.0,4.0,11/07/2019,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,18,,2.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156414.0,73.0,5.0,623  FINCH AVE W,3.0,,6,3.0,1983.0,2017.0
260159,,4.0,38.0,,4.0,4.0,12/08/2020,4.0,4.0,3.0,4.0,,5.0,4.0,4.0,3.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156737.0,79.0,5.0,148  ISLINGTON AVE ,3.0,,3,4.0,1951.0,2017.0
260160,,4.0,28.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4152634.0,65.0,,5  RANNOCK ST ,,,21,,1959.0,2017.0
260161,4.0,8.0,38.0,4.0,4.0,4.0,10/27/2020,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153047.0,79.0,5.0,109  INDIAN RD ,4.0,3.0,4,4.0,1970.0,2017.0
260162,4.0,6.0,75.0,4.0,5.0,5.0,11/04/2019,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,20,5.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153054.0,87.0,5.0,515  PARKSIDE DR ,4.0,4.0,4,3.0,1990.0,2017.0
260163,4.0,6.0,80.0,3.0,5.0,5.0,11/04/2019,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,19,,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153055.0,85.0,5.0,1709  BLOOR ST W,4.0,4.0,4,3.0,1992.0,2017.0
260164,,6.0,46.0,4.0,3.0,4.0,10/30/2020,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153057.0,77.0,5.0,1639  BLOOR ST W,4.0,3.0,4,4.0,1960.0,2017.0
260165,,3.0,18.0,,4.0,4.0,11/20/2020,4.0,4.0,4.0,3.0,,4.0,4.0,3.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153059.0,75.0,5.0,34  NOBLE ST ,4.0,,4,4.0,1935.0,2017.0
260166,3.0,22.0,294.0,4.0,4.0,5.0,11/18/2020,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153066.0,74.0,5.0,55  TRILLER AVE ,4.0,3.0,4,4.0,1966.0,2017.0
260167,,5.0,66.0,4.0,4.0,4.0,11/04/2019,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153068.0,76.0,5.0,150  FERMANAGH AVE ,4.0,,4,3.0,1952.0,2017.0
260168,4.0,24.0,172.0,4.0,4.0,4.0,11/13/2020,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153514.0,74.0,4.0,15  DUNDONALD ST ,4.0,4.0,13,3.0,1970.0,2017.0
260169,4.0,29.0,584.0,4.0,4.0,4.0,11/19/2020,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154037.0,72.0,4.0,7  CRESCENT PL ,4.0,,19,4.0,1971.0,2017.0
260170,4.0,4.0,46.0,,3.0,3.0,12/08/2020,4.0,3.0,4.0,3.0,,3.0,4.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154039.0,69.0,4.0,516  DAWES RD ,3.0,,19,4.0,1953.0,2017.0
260171,4.0,4.0,66.0,3.0,4.0,3.0,12/04/2019,3.0,3.0,3.0,3.0,,5.0,4.0,3.0,3.0,2.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154042.0,67.0,4.0,508  DAWES RD ,3.0,,19,4.0,1959.0,2017.0
260172,3.0,6.0,58.0,5.0,4.0,4.0,12/04/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154047.0,81.0,4.0,11  GLENBURN AVE ,4.0,,19,4.0,1962.0,2017.0
260173,3.0,6.0,84.0,3.0,3.0,2.0,12/11/2020,2.0,3.0,4.0,3.0,,3.0,3.0,2.0,4.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154049.0,60.0,4.0,608  DAWES RD ,2.0,,19,3.0,1959.0,2018.0
260174,4.0,6.0,56.0,3.0,4.0,3.0,12/04/2019,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154069.0,77.0,4.0,970  O'CONNOR DR ,4.0,4.0,19,5.0,1960.0,2017.0
260175,5.0,6.0,78.0,5.0,5.0,5.0,12/05/2019,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,4.0,5.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154070.0,94.0,4.0,189  CEDARVALE AVE ,5.0,5.0,19,4.0,1950.0,2017.0
260176,4.0,3.0,10.0,,4.0,3.0,12/02/2020,3.0,4.0,3.0,3.0,,2.0,4.0,3.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154547.0,68.0,3.0,35  WASDALE CRES ,3.0,,8,4.0,1955.0,2017.0
260177,5.0,3.0,10.0,,4.0,4.0,12/01/2020,4.0,4.0,4.0,4.0,,5.0,4.0,5.0,4.0,5.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154551.0,86.0,5.0,21  NEPTUNE DR ,4.0,,8,4.0,1950.0,2017.0
260178,,3.0,28.0,,5.0,4.0,12/02/2020,5.0,4.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154557.0,87.0,5.0,42  SARANAC BLVD ,4.0,,8,4.0,1960.0,2017.0
260179,,3.0,26.0,,5.0,4.0,02/11/2019,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,5.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154560.0,89.0,4.0,3  DREXEL RD ,5.0,5.0,8,4.0,1954.0,2017.0
260180,3.0,3.0,10.0,,4.0,3.0,10/20/2020,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,3.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154568.0,76.0,5.0,417  WILSON AVE ,4.0,,6,4.0,1958.0,2017.0
260181,,3.0,40.0,,4.0,4.0,12/05/2020,3.0,4.0,3.0,5.0,,5.0,4.0,4.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154572.0,76.0,5.0,390-398  WILSON AVE ,4.0,2.0,6,4.0,1952.0,2017.0
260182,,3.0,33.0,,4.0,4.0,12/05/2020,4.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,4.0,16,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154573.0,84.0,5.0,400-406  WILSON AVE ,4.0,3.0,6,4.0,1952.0,2017.0
260183,,3.0,32.0,,4.0,4.0,12/04/2020,2.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154574.0,73.0,4.0,408-414  WILSON AVE ,4.0,3.0,6,4.0,1950.0,2017.0
260184,,3.0,55.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154582.0,69.0,,490  WILSON AVE ,,,6,,1955.0,2017.0
260185,,3.0,11.0,,4.0,4.0,12/08/2020,4.0,4.0,4.0,4.0,,5.0,3.0,3.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154583.0,78.0,5.0,9  ROSSEAU RD ,4.0,4.0,6,3.0,1955.0,2017.0
260186,5.0,25.0,547.0,4.0,4.0,5.0,11/28/2019,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154930.0,85.0,5.0,400  WALMER RD ,4.0,5.0,12,4.0,1964.0,2017.0
260187,3.0,4.0,16.0,,4.0,3.0,11/28/2019,3.0,3.0,3.0,4.0,,5.0,3.0,4.0,4.0,,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154936.0,71.0,5.0,17  RAGLAN AVE ,3.0,,12,3.0,1930.0,2017.0
260188,,4.0,24.0,,5.0,5.0,03/13/2019,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,5.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 3 years,4154952.0,87.0,4.0,1520  BATHURST ST ,4.0,,12,4.0,1932.0,2017.0
260189,,4.0,16.0,,4.0,4.0,12/09/2020,3.0,3.0,3.0,4.0,,5.0,4.0,4.0,4.0,2.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154961.0,74.0,5.0,54  RAGLAN AVE ,4.0,,12,3.0,1960.0,2017.0
260190,,4.0,33.0,,4.0,4.0,11/27/2019,3.0,4.0,4.0,4.0,,4.0,3.0,3.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154965.0,74.0,5.0,100  VAUGHAN RD ,3.0,4.0,12,3.0,1940.0,2017.0
260191,,6.0,100.0,3.0,3.0,3.0,01/09/2018,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,18,4.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155471.0,68.0,3.0,98  CAVELL AVE ,4.0,,3,3.0,1992.0,2017.0
260192,5.0,3.0,16.0,,4.0,3.0,10/31/2019,3.0,4.0,4.0,4.0,,5.0,3.0,4.0,3.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155472.0,79.0,5.0,66  STATION RD ,4.0,4.0,3,4.0,1959.0,2017.0
260193,3.0,3.0,16.0,,3.0,3.0,11/25/2020,4.0,5.0,4.0,4.0,,5.0,4.0,3.0,3.0,3.0,16,,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155473.0,74.0,4.0,110  STANLEY AVE ,3.0,,3,4.0,1959.0,2017.0
260194,,4.0,37.0,,4.0,3.0,11/25/2019,3.0,4.0,3.0,3.0,,5.0,5.0,4.0,5.0,5.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156037.0,83.0,5.0,1535  BIRCHMOUNT RD ,5.0,3.0,21,5.0,1960.0,2017.0
260195,4.0,3.0,12.0,,4.0,4.0,11/04/2020,4.0,4.0,3.0,4.0,,5.0,3.0,3.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156417.0,78.0,4.0,41  GENERATION BLVD ,4.0,,25,4.0,1975.0,2017.0
260196,,3.0,40.0,,4.0,4.0,10/30/2019,4.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,4.0,16,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4156442.0,83.0,4.0,5  FORTY THIRD ST ,4.0,,3,4.0,1953.0,2017.0
260197,,3.0,41.0,,4.0,4.0,10/30/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,5.0,4.0,16,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4156443.0,83.0,3.0,25  FORTY THIRD ST ,4.0,,3,5.0,1953.0,2017.0
260198,4.0,6.0,53.0,3.0,4.0,4.0,10/30/2020,4.0,4.0,4.0,3.0,,4.0,3.0,4.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152675.0,74.0,4.0,821  BIRCHMOUNT RD ,3.0,,20,4.0,1960.0,2017.0
260199,4.0,6.0,65.0,4.0,4.0,4.0,10/30/2020,3.0,4.0,4.0,3.0,,5.0,3.0,3.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152676.0,74.0,4.0,829  BIRCHMOUNT RD ,3.0,,20,4.0,1961.0,2017.0
260200,4.0,6.0,110.0,4.0,4.0,4.0,11/10/2020,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152681.0,81.0,4.0,2233  EGLINTON AVE E,4.0,,20,4.0,1958.0,2017.0
260201,3.0,6.0,91.0,5.0,4.0,4.0,11/20/2019,4.0,5.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,18,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152683.0,84.0,5.0,2243  EGLINTON AVE E,3.0,4.0,20,4.0,1968.0,2017.0
260202,,5.0,35.0,,5.0,5.0,12/17/2020,4.0,4.0,4.0,4.0,,4.0,5.0,4.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153078.0,83.0,5.0,301  LANSDOWNE AVE ,4.0,,9,4.0,1932.0,
260203,,3.0,36.0,2.0,3.0,3.0,01/23/2019,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,18,3.0,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4153552.0,53.0,3.0,841  QUEEN ST E,3.0,,14,3.0,1988.0,2017.0
260204,4.0,8.0,135.0,4.0,4.0,5.0,11/15/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,19,5.0,5.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153554.0,87.0,5.0,33  HAHN PL ,5.0,,10,4.0,1980.0,2017.0
260205,5.0,4.0,41.0,4.0,5.0,5.0,11/18/2020,3.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,19,,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153577.0,87.0,5.0,179  BROADVIEW AVE ,5.0,5.0,14,3.0,1992.0,2017.0
260206,,3.0,16.0,,4.0,4.0,12/05/2019,3.0,5.0,4.0,3.0,,5.0,4.0,3.0,4.0,4.0,14,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153579.0,77.0,4.0,434  GERRARD ST E,3.0,,13,4.0,1891.0,2017.0
260207,4.0,15.0,235.0,4.0,4.0,5.0,12/05/2019,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154078.0,87.0,5.0,75  EASTDALE AVE ,4.0,4.0,19,4.0,1974.0,2017.0
260208,4.0,6.0,200.0,4.0,4.0,4.0,11/18/2020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,18,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4154080.0,79.0,4.0,9  HALDON AVE ,4.0,,19,4.0,1962.0,2017.0
260209,5.0,6.0,61.0,5.0,5.0,4.0,11/06/2020,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,19,5.0,5.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4154082.0,94.0,5.0,1430  WOODBINE AVE ,5.0,,19,5.0,1992.0,2017.0
260210,5.0,4.0,29.0,,3.0,5.0,11/26/2020,5.0,3.0,5.0,3.0,,5.0,3.0,4.0,5.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154089.0,85.0,5.0,149  COSBURN AVE ,5.0,4.0,14,5.0,1958.0,2017.0
260211,5.0,6.0,37.0,5.0,3.0,5.0,11/25/2020,3.0,4.0,5.0,3.0,,5.0,5.0,3.0,3.0,5.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154092.0,82.0,4.0,185  COSBURN AVE ,5.0,,14,3.0,1960.0,2017.0
